2025-10-21 01:22:39 EEST | INFO     | trading_bot | Downloading historical klines for ADAUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:39 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ADAUSDT 4h
2025-10-21 01:22:39 EEST | INFO     | trading_bot | Saved 0 klines for ADAUSDT 4h
2025-10-21 01:22:39 EEST | INFO     | trading_bot | Downloading historical klines for ADAUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:40 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ADAUSDT 1d
2025-10-21 01:22:40 EEST | INFO     | trading_bot | Saved 0 klines for ADAUSDT 1d
2025-10-21 01:22:40 EEST | INFO     | trading_bot | Downloading historical klines for XMRUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:40 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XMRUSDT 15m
2025-10-21 01:22:40 EEST | INFO     | trading_bot | Saved 0 klines for XMRUSDT 15m
2025-10-21 01:22:40 EEST | INFO     | trading_bot | Downloading historical klines for XMRUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:40 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XMRUSDT 1h
2025-10-21 01:22:40 EEST | INFO     | trading_bot | Saved 0 klines for XMRUSDT 1h
2025-10-21 01:22:40 EEST | INFO     | trading_bot | Downloading historical klines for XMRUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:41 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XMRUSDT 4h
2025-10-21 01:22:41 EEST | INFO     | trading_bot | Saved 0 klines for XMRUSDT 4h
2025-10-21 01:22:41 EEST | INFO     | trading_bot | Downloading historical klines for XMRUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:41 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - XMRUSDT 1d
2025-10-21 01:22:41 EEST | INFO     | trading_bot | Saved 0 klines for XMRUSDT 1d
2025-10-21 01:22:41 EEST | INFO     | trading_bot | Downloading historical klines for DASHUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:41 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DASHUSDT 15m
2025-10-21 01:22:41 EEST | INFO     | trading_bot | Saved 0 klines for DASHUSDT 15m
2025-10-21 01:22:41 EEST | INFO     | trading_bot | Downloading historical klines for DASHUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:42 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DASHUSDT 1h
2025-10-21 01:22:42 EEST | INFO     | trading_bot | Saved 0 klines for DASHUSDT 1h
2025-10-21 01:22:42 EEST | INFO     | trading_bot | Downloading historical klines for DASHUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:42 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DASHUSDT 4h
2025-10-21 01:22:42 EEST | INFO     | trading_bot | Saved 0 klines for DASHUSDT 4h
2025-10-21 01:22:42 EEST | INFO     | trading_bot | Downloading historical klines for DASHUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:42 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DASHUSDT 1d
2025-10-21 01:22:42 EEST | INFO     | trading_bot | Saved 0 klines for DASHUSDT 1d
2025-10-21 01:22:42 EEST | INFO     | trading_bot | Downloading historical klines for ZECUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:43 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ZECUSDT 15m
2025-10-21 01:22:43 EEST | INFO     | trading_bot | Saved 0 klines for ZECUSDT 15m
2025-10-21 01:22:43 EEST | INFO     | trading_bot | Downloading historical klines for ZECUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:43 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ZECUSDT 1h
2025-10-21 01:22:43 EEST | INFO     | trading_bot | Saved 0 klines for ZECUSDT 1h
2025-10-21 01:22:43 EEST | INFO     | trading_bot | Downloading historical klines for ZECUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:43 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ZECUSDT 4h
2025-10-21 01:22:43 EEST | INFO     | trading_bot | Saved 0 klines for ZECUSDT 4h
2025-10-21 01:22:43 EEST | INFO     | trading_bot | Downloading historical klines for ZECUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ZECUSDT 1d
2025-10-21 01:22:44 EEST | INFO     | trading_bot | Saved 0 klines for ZECUSDT 1d
2025-10-21 01:22:44 EEST | INFO     | trading_bot | Downloading historical klines for BNBUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BNBUSDT 15m
2025-10-21 01:22:44 EEST | INFO     | trading_bot | Saved 0 klines for BNBUSDT 15m
2025-10-21 01:22:44 EEST | INFO     | trading_bot | Downloading historical klines for BNBUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BNBUSDT 1h
2025-10-21 01:22:44 EEST | INFO     | trading_bot | Saved 0 klines for BNBUSDT 1h
2025-10-21 01:22:44 EEST | INFO     | trading_bot | Downloading historical klines for BNBUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:44 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BNBUSDT 4h
2025-10-21 01:22:44 EEST | INFO     | trading_bot | Saved 0 klines for BNBUSDT 4h
2025-10-21 01:22:45 EEST | INFO     | trading_bot | Downloading historical klines for BNBUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:45 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BNBUSDT 1d
2025-10-21 01:22:45 EEST | INFO     | trading_bot | Saved 0 klines for BNBUSDT 1d
2025-10-21 01:22:45 EEST | INFO     | trading_bot | Downloading historical klines for ATOMUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:45 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ATOMUSDT 15m
2025-10-21 01:22:45 EEST | INFO     | trading_bot | Saved 0 klines for ATOMUSDT 15m
2025-10-21 01:22:45 EEST | INFO     | trading_bot | Downloading historical klines for ATOMUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:45 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ATOMUSDT 1h
2025-10-21 01:22:45 EEST | INFO     | trading_bot | Saved 0 klines for ATOMUSDT 1h
2025-10-21 01:22:46 EEST | INFO     | trading_bot | Downloading historical klines for ATOMUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:46 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ATOMUSDT 4h
2025-10-21 01:22:46 EEST | INFO     | trading_bot | Saved 0 klines for ATOMUSDT 4h
2025-10-21 01:22:46 EEST | INFO     | trading_bot | Downloading historical klines for ATOMUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:46 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ATOMUSDT 1d
2025-10-21 01:22:46 EEST | INFO     | trading_bot | Saved 0 klines for ATOMUSDT 1d
2025-10-21 01:22:46 EEST | INFO     | trading_bot | Downloading historical klines for BATUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:46 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BATUSDT 15m
2025-10-21 01:22:46 EEST | INFO     | trading_bot | Saved 0 klines for BATUSDT 15m
2025-10-21 01:22:47 EEST | INFO     | trading_bot | Downloading historical klines for BATUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:47 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BATUSDT 1h
2025-10-21 01:22:47 EEST | INFO     | trading_bot | Saved 0 klines for BATUSDT 1h
2025-10-21 01:22:47 EEST | INFO     | trading_bot | Downloading historical klines for BATUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:47 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BATUSDT 4h
2025-10-21 01:22:47 EEST | INFO     | trading_bot | Saved 0 klines for BATUSDT 4h
2025-10-21 01:22:47 EEST | INFO     | trading_bot | Downloading historical klines for BATUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:47 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - BATUSDT 1d
2025-10-21 01:22:47 EEST | INFO     | trading_bot | Saved 0 klines for BATUSDT 1d
2025-10-21 01:22:47 EEST | INFO     | trading_bot | Downloading historical klines for VETUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:48 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VETUSDT 15m
