2025-10-19 05:21:51 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - COMPUSDT 1h
2025-10-19 05:21:51 EEST | INFO     | trading_bot | Saved 1 klines for COMPUSDT 1h
2025-10-19 05:21:51 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DOGEUSDT 1h
2025-10-19 05:21:51 EEST | INFO     | trading_bot | Saved 1 klines for DOGEUSDT 1h
2025-10-19 05:21:51 EEST | INFO     | trading_bot |   📦 Mini-batch 1/11: ✅ 20 / ❌ 0
2025-10-19 05:22:02 EEST | INFO     | trading_bot | Downloading historical klines for SNXUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:02 EEST | INFO     | trading_bot | Downloading historical klines for DOTUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:02 EEST | INFO     | trading_bot | Downloading historical klines for CRVUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:02 EEST | INFO     | trading_bot | Downloading historical klines for SOLUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for WUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 WUSDT OI: Current=163085187, Delta=26713, DOI%=0.02%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for ETHFIUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 ETHFIUSDT OI: Current=22865938, Delta=4325, DOI%=0.02%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for ENAUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 ENAUSDT OI: Current=400548226, Delta=-195460, DOI%=-0.05%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for WIFUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 WIFUSDT OI: Current=48063758, Delta=31128, DOI%=0.06%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for OMUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 OMUSDT OI: Current=189640330, Delta=-265442, DOI%=-0.14%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for 1000SATSUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 1000SATSUSDT OI: Current=142544617045, Delta=-206105033, DOI%=-0.14%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=150+73, binance=10 (diff: -140)
