2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:03:07 (1798s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.75s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:05:07 (1918s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.76s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:51:07 (1078s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.76s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 12:57:07 (1438s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.76s
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:05:07 (1918s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.76s
2025-10-14 12:33:09 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=0+0, binance=2993 (diff: +2993)
2025-10-14 12:33:09 EEST | ERROR    | trading_bot | 🚨 BINANCE IP BAN detected! All requests blocked until 13:09:09 (2160s)
2025-10-14 12:33:09 EEST | WARNING  | trading_bot | Rate limit hit (attempt 3/5), backing off for 4.76s
