2025-10-20 11:59:06 EEST | INFO     | trading_bot | Saved 0 klines for INJUSDT 1d
2025-10-20 11:59:06 EEST | INFO     | trading_bot | Downloading historical klines for LDOUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:06 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LDOUSDT 15m
2025-10-20 11:59:06 EEST | INFO     | trading_bot | Saved 0 klines for LDOUSDT 15m
2025-10-20 11:59:06 EEST | INFO     | trading_bot | Downloading historical klines for LDOUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:06 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LDOUSDT 1h
2025-10-20 11:59:06 EEST | INFO     | trading_bot | Saved 0 klines for LDOUSDT 1h
2025-10-20 11:59:06 EEST | INFO     | trading_bot | Downloading historical klines for LDOUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:07 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LDOUSDT 4h
2025-10-20 11:59:07 EEST | INFO     | trading_bot | Saved 0 klines for LDOUSDT 4h
2025-10-20 11:59:07 EEST | INFO     | trading_bot | Downloading historical klines for LDOUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:07 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - LDOUSDT 1d
2025-10-20 11:59:07 EEST | INFO     | trading_bot | Saved 0 klines for LDOUSDT 1d
2025-10-20 11:59:07 EEST | INFO     | trading_bot | Downloading historical klines for ICPUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:07 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ICPUSDT 15m
2025-10-20 11:59:07 EEST | INFO     | trading_bot | Saved 0 klines for ICPUSDT 15m
2025-10-20 11:59:07 EEST | INFO     | trading_bot | Downloading historical klines for ICPUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:08 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ICPUSDT 1h
2025-10-20 11:59:08 EEST | INFO     | trading_bot | Saved 0 klines for ICPUSDT 1h
2025-10-20 11:59:08 EEST | INFO     | trading_bot | Downloading historical klines for ICPUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:08 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ICPUSDT 4h
2025-10-20 11:59:08 EEST | INFO     | trading_bot | Saved 0 klines for ICPUSDT 4h
2025-10-20 11:59:08 EEST | INFO     | trading_bot | Downloading historical klines for ICPUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:08 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ICPUSDT 1d
2025-10-20 11:59:08 EEST | INFO     | trading_bot | Saved 0 klines for ICPUSDT 1d
2025-10-20 11:59:08 EEST | INFO     | trading_bot | Downloading historical klines for APTUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APTUSDT 15m
2025-10-20 11:59:09 EEST | INFO     | trading_bot | Saved 0 klines for APTUSDT 15m
2025-10-20 11:59:09 EEST | INFO     | trading_bot | Downloading historical klines for APTUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APTUSDT 1h
2025-10-20 11:59:09 EEST | INFO     | trading_bot | Saved 0 klines for APTUSDT 1h
2025-10-20 11:59:09 EEST | INFO     | trading_bot | Downloading historical klines for APTUSDT 4h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APTUSDT 4h
2025-10-20 11:59:09 EEST | INFO     | trading_bot | Saved 0 klines for APTUSDT 4h
2025-10-20 11:59:09 EEST | INFO     | trading_bot | Downloading historical klines for APTUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:09 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - APTUSDT 1d
2025-10-20 11:59:09 EEST | INFO     | trading_bot | Saved 0 klines for APTUSDT 1d
2025-10-20 11:59:10 EEST | INFO     | trading_bot | 📊 Processing batch 4/11 (20 symbols: FETUSDT ... MEMEUSDT)
2025-10-20 11:59:10 EEST | INFO     | trading_bot | Downloading historical klines for FETUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:10 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - FETUSDT 15m
2025-10-20 11:59:10 EEST | INFO     | trading_bot | Saved 0 klines for FETUSDT 15m
2025-10-20 11:59:10 EEST | INFO     | trading_bot | Downloading historical klines for FETUSDT 1h from 2025-10-20 08:00:00+00:00 to 2025-10-20 08:57:33.936932+00:00 (1 days)
2025-10-20 11:59:11 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - FETUSDT 1h
