2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 06:00:00+00:00 to 2025-10-18 05:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 07:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 07:00:00+00:00 to 2025-10-18 06:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 07:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 07:00:00+00:00 to 2025-10-18 06:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 08:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 08:00:00+00:00 to 2025-10-18 07:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 08:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 08:00:00+00:00 to 2025-10-18 07:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 09:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 09:00:00+00:00 to 2025-10-18 08:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 09:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 09:00:00+00:00 to 2025-10-18 08:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 10:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 10:00:00+00:00 to 2025-10-18 09:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 10:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 10:00:00+00:00 to 2025-10-18 09:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 11:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 11:00:00+00:00 to 2025-10-18 10:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 11:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 11:00:00+00:00 to 2025-10-18 10:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 12:00:00+00:00 (-1 candles)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Downloading historical klines for PYTHUSDT 1h from 2025-10-18 12:00:00+00:00 to 2025-10-18 11:00:00+00:00 (1 days)
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Saved 0 klines for PYTHUSDT 1h
2025-10-21 23:15:36 EEST | INFO     | trading_bot | Fixing gap: PYTHUSDT 1h at 2025-10-18 12:00:00+00:00 (-1 candles)
