2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 02:45:00+00:00 to 2025-10-20 02:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 03:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 03:00:00+00:00 to 2025-10-20 02:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 03:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 03:15:00+00:00 to 2025-10-20 03:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 03:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 03:30:00+00:00 to 2025-10-20 03:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 03:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 03:45:00+00:00 to 2025-10-20 03:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 04:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 04:00:00+00:00 to 2025-10-20 03:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 04:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 04:15:00+00:00 to 2025-10-20 04:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 04:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 04:30:00+00:00 to 2025-10-20 04:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 04:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 04:45:00+00:00 to 2025-10-20 04:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 05:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 05:00:00+00:00 to 2025-10-20 04:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 05:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 05:15:00+00:00 to 2025-10-20 05:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 05:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 05:30:00+00:00 to 2025-10-20 05:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 05:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 05:45:00+00:00 to 2025-10-20 05:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 06:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 06:00:00+00:00 to 2025-10-20 05:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 06:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 06:15:00+00:00 to 2025-10-20 06:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 06:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 06:30:00+00:00 to 2025-10-20 06:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 06:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 06:45:00+00:00 to 2025-10-20 06:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 07:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 07:00:00+00:00 to 2025-10-20 06:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 07:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 07:15:00+00:00 to 2025-10-20 07:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 07:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 07:30:00+00:00 to 2025-10-20 07:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 07:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 07:45:00+00:00 to 2025-10-20 07:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 08:00:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 08:00:00+00:00 to 2025-10-20 07:45:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 08:15:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 08:15:00+00:00 to 2025-10-20 08:00:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 08:30:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 08:30:00+00:00 to 2025-10-20 08:15:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-20 08:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-20 08:45:00+00:00 to 2025-10-20 08:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Fixing gap: BTCUSDT 15m at 2025-10-21 19:45:00+00:00 (-1 candles)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Downloading historical klines for BTCUSDT 15m from 2025-10-21 19:45:00+00:00 to 2025-10-21 19:30:00+00:00 (1 days)
2025-10-23 20:54:01 EEST | INFO     | trading_bot | Saved 0 klines for BTCUSDT 15m
2025-10-23 20:54:01 EEST | INFO     | trading_bot |   [1/4] вњ… BTCUSDT 15m: all 63 gaps fixed
