2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for TREEUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.586639+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for TREEUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for TREEUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.587640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for NAORISUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for NAORISUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.588639+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for NAORISUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for NAORISUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.589639+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for NAORISUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for NAORISUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.591640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for PROVEUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for PROVEUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.592640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for PROVEUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for PROVEUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.593640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for PROVEUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for PROVEUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.594639+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for INUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for INUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.595639+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for INUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for INUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.597642+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for INUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for INUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.598640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for AIOUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for AIOUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.603641+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for AIOUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for AIOUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.604641+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for AIOUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for AIOUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.605640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for USELESSUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for USELESSUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.606640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for USELESSUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for USELESSUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.607639+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for USELESSUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for USELESSUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.608639+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for DAMUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for DAMUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.610640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for DAMUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for DAMUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.611640+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for DAMUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for DAMUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.612645+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for CUDISUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for CUDISUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.614642+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for CUDISUSDT 1h from 2025-10-18 06:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for CUDISUSDT 1h from 2025-10-18 06:01:00+00:00 to 2025-10-18 08:03:03.615650+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for CUDISUSDT 4h from 2025-10-18 00:01:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for CUDISUSDT 4h from 2025-10-18 00:01:00+00:00 to 2025-10-18 08:03:03.619642+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for XPLUSDT 15m from 2025-10-18 07:16:00+00:00
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Downloading historical klines for XPLUSDT 15m from 2025-10-18 07:16:00+00:00 to 2025-10-18 08:03:03.620644+00:00 (1 days)
2025-10-18 11:03:03 EEST | INFO     | trading_bot | Updating missing candles for XPLUSDT 1h from 2025-10-18 06:01:00+00:00
