Номер;Время (Киев);Монета;Направление;Entry;Stop Loss;Take Profit 1;Take Profit 2;Exit;PnL %;Score
106;21.10.2025 08:47:34;ENAUSDT;SHORT;0.4472;0.4508;0.4417;0.4380;0.4508;-0.82;4.5
107;21.10.2025 10:03:27;BERAUSDT;SHORT;1.8940;1.9121;1.8668;1.8487;1.9121;-0.96;11.8
108;21.10.2025 10:17:24;OGUSDT;SHORT;17.9644;18.0646;17.8141;17.7139;18.0646;-0.56;6.6
109;21.10.2025 10:33:05;IPUSDT;SHORT;5.3310;5.3719;5.2696;5.2287;5.3719;-0.77;6.0
110;21.10.2025 11:05:09;ZEREBROUSDT;LONG;0.0407;0.0375;0.0438;0.0470;0.0375;-7.75;3.8
111;21.10.2025 11:47:32;TRXUSDT;SHORT;0.3199;0.3206;0.3188;0.3181;0.3206;-0.22;5.9
112;21.10.2025 11:48:26;MORPHOUSDT;SHORT;1.8577;1.8731;1.8347;1.8193;1.8731;-0.83;5.3
113;21.10.2025 11:48:26;MERLUSDT;SHORT;0.3267;0.3293;0.3228;0.3202;0.3293;-0.80;3.6
114;21.10.2025 12:03:26;WLFIUSDT;SHORT;0.1260;0.1270;0.1245;0.1235;0.1270;-0.79;12.0
115;21.10.2025 12:03:53;LTCUSDT;SHORT;91.8300;95.2746;88.3854;84.9408;95.2746;-3.75;4.8
116;21.10.2025 12:03:53;FILUSDT;SHORT;1.5320;1.6334;1.4306;1.3292;1.6334;-6.62;5.2
117;21.10.2025 12:04:24;PHBUSDT;SHORT;0.5221;0.5274;0.5141;0.5088;0.5274;-1.02;7.3
118;21.10.2025 13:04:16;KASUSDT;SHORT;0.0515;0.0520;0.0509;0.0505;0.0520;-0.82;12.0
119;21.10.2025 13:04:47;IPUSDT;SHORT;5.3550;5.3988;5.2892;5.2454;5.3988;-0.82;6.0
120;21.10.2025 13:17:39;TRXUSDT;LONG;0.3208;0.3201;0.3217;0.3223;0.3201;-0.20;8.4
121;21.10.2025 13:17:40;SUSHIUSDT;SHORT;0.5263;0.5297;0.5212;0.5178;0.5297;-0.64;6.0
122;21.10.2025 13:18:09;TWTUSDT;SHORT;1.2732;1.2799;1.2632;1.2566;1.2799;-0.52;7.8
123;21.10.2025 13:18:39;B2USDT;LONG;1.7648;1.7349;1.8097;1.8396;1.7349;-1.70;12.0
124;21.10.2025 13:49:25;MERLUSDT;SHORT;0.3306;0.3334;0.3265;0.3237;0.3334;-0.83;7.2
125;21.10.2025 14:03:11;ZORAUSDT;LONG;0.1055;0.1026;0.1098;0.1127;0.1026;-2.73;6.2
126;21.10.2025 14:03:12;LINEAUSDT;SHORT;0.0158;0.0160;0.0156;0.0155;0.0160;-0.88;10.0
127;21.10.2025 14:04:46;TAOUSDT;SHORT;403.2531;406.8963;397.7882;394.1450;406.8963;-0.90;5.8
128;21.10.2025 14:17:11;HEMIUSDT;LONG;0.0599;0.0593;0.0604;0.0610;0.0593;-0.91;4.5
129;21.10.2025 14:33:46;PLUMEUSDT;SHORT;0.0721;0.0725;0.0714;0.0709;0.0725;-0.65;7.0
130;21.10.2025 14:47:39;XMRUSDT;LONG;313.5118;311.3206;316.7986;318.9898;311.3206;-0.70;8.3
131;21.10.2025 14:48:07;UMAUSDT;LONG;1.1812;1.1730;1.1936;1.2018;1.1730;-0.70;8.2
132;21.10.2025 15:18:13;TWTUSDT;SHORT;1.2811;1.2875;1.2715;1.2651;1.2875;-0.50;5.8
133;21.10.2025 15:18:45;NILUSDT;SHORT;0.2678;0.2719;0.2616;0.2575;0.2719;-1.54;4.1
134;21.10.2025 15:32:12;AVNTUSDT;LONG;0.5957;0.5791;0.6206;0.6372;0.5791;-2.79;10.8
135;21.10.2025 15:33:13;WIFUSDT;LONG;0.5281;0.5248;0.5331;0.5365;0.5248;-0.63;7.5
